0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
3.6884046,3.9300048,9.707697,11.878195,8.254636,5.676317,17.00843,5.514244,-0.829364,7.013071,3.7515702,2.1694095,4.598038,12.913482,8.472067,4.2344093,5.18871,3.429921,4.9832053,4.3538356,-0.8796283,4.9901643,-0.9345359,6.8700147,12.158235,13.716932,8.344388,13.778448,-0.9897794,-0.9837394,4.144263,12.360807
8.770631,13.023509,8.275418,10.167507,4.1915493,8.799183,7.6925173,14.583757,-0.9648777,9.153512,4.790013,9.986683,19.640018,6.8808174,14.399618,7.3205495,4.4969845,7.6994643,12.053535,9.095699,-0.984573,5.1035523,-0.62806886,16.33285,14.312974,10.023836,8.879703,4.838847,-0.99935573,-0.9762246,6.8882074,5.912664
3.6126554,4.1273355,6.99421,11.19903,4.834584,2.8948226,7.7239203,3.293408,0.018939253,2.3768935,3.0896282,11.087647,11.13255,12.738778,10.536118,3.5898392,7.429894,1.1772647,9.637258,4.312238,-0.9643845,0.5629083,-0.83996,8.922295,3.1768687,3.2519279,10.095084,2.7801166,-0.96289,-0.8733016,4.8923125,3.8692935
4.778088,11.31846,19.590998,9.894455,8.185436,5.662807,9.577927,10.103026,-0.9900621,15.396132,4.7045054,6.508475,13.564884,9.25641,15.270179,3.7635577,5.041377,7.3111362,10.487534,6.901152,-0.9943243,6.308151,-0.95008665,7.8901873,9.783769,11.231997,4.0848293,17.978115,-0.999962,-0.99860764,9.772373,9.696581
4.58148,6.3146734,9.630608,5.819597,4.2138996,6.164255,1.8781626,4.087563,-0.71261406,15.693965,2.0126758,1.5361065,4.594669,6.2961397,7.7816815,5.580368,11.212196,3.216171,10.7234335,4.8290067,-0.99715805,8.401155,-0.781293,4.067109,4.8836813,11.075063,8.700143,14.223484,-0.9901507,-0.9954993,8.75087,12.27504
4.572414,4.76486,8.678799,13.973136,5.67451,3.7539265,11.246805,2.5397098,-0.3517776,3.4974566,3.2308083,12.189857,11.181446,14.394807,10.387008,4.16541,7.5102053,1.9041159,9.746923,6.664782,-0.9908411,3.2077703,-0.9694854,9.210931,3.7072132,7.156024,10.828362,4.96908,-0.946124,-0.9654774,5.448723,7.4167147
3.1257286,8.644122,3.2736726,5.319248,2.2541945,6.5009556,16.274391,8.395154,-0.6021222,9.463546,3.914474,8.380847,5.8182044,8.594064,7.9606805,3.2887986,12.986428,4.3198156,8.287342,6.696366,-0.99917996,7.100721,-0.8834338,4.8775907,7.8746924,13.36154,13.508832,13.22281,-0.9972691,-0.9035333,12.563053,9.336313
7.555858,15.836085,2.148248,17.867704,11.133927,4.5953817,5.327432,7.8475327,-0.9778,10.025795,4.7993245,5.9522624,10.595465,3.4035378,8.609609,5.5643125,12.201851,1.9327879,6.771536,6.022767,-0.98834896,9.7894125,-0.8907183,4.716425,7.378018,5.3263364,8.3643675,9.200594,-0.9924333,-0.9943927,5.0903816,7.930498
8.195887,11.185695,16.996733,8.294336,3.5816958,3.9599092,4.982715,13.056481,-0.9367055,11.694337,1.8715416,9.242463,9.341543,9.289544,9.777564,8.27032,18.055483,4.12098,12.884686,5.4645634,-0.99926275,4.9776177,-0.9313375,9.632331,5.209508,17.481007,14.81443,11.744127,-0.999685,-0.99820507,4.341115,14.8398905
5.811565,14.09025,15.687082,15.444934,7.323865,6.3846908,18.27745,8.0355625,-0.8738801,9.035733,4.924699,10.602897,7.3245687,17.758345,8.469803,5.47425,11.000967,5.4534845,10.385163,6.899668,-0.99970144,9.898672,-0.9771221,5.306605,11.429469,6.481008,7.2007856,18.014015,-0.9997469,-0.9656787,9.021494,15.074716
3.860992,3.8137581,18.646967,2.4036293,4.197329,3.9835687,7.591699,10.71878,-0.9457938,10.102614,2.451581,5.3171463,9.374816,4.2022457,11.18305,3.8397741,7.619002,1.5279245,12.241915,11.356685,-0.9972024,4.5281696,-0.8962027,8.750811,10.537511,8.550796,4.837127,17.906612,-0.99992454,-0.9921298,10.273257,7.3517675
5.3277655,10.895835,12.061724,6.907744,8.802774,8.031072,11.346485,12.0899515,-0.9104414,17.5138,4.33975,8.062297,14.90741,9.394941,14.180684,3.5693727,11.663457,5.72104,10.083472,17.15458,-0.9992051,4.9533334,-0.9691369,10.2377205,10.645688,3.9741554,8.244351,12.792189,-0.99984413,-0.9771992,12.592997,12.501701
4.4187245,12.9269905,15.540523,14.971432,4.809458,6.8256283,9.589113,4.969844,-0.90420896,11.720749,4.469857,5.775698,3.145521,14.278056,2.9266188,5.4050455,9.0490675,4.534683,8.848474,6.6163564,-0.98597866,4.6080475,-0.91518575,2.578869,7.034002,14.243946,9.84206,13.24017,-0.9909547,-0.946031,8.108493,13.389694
3.0650063,9.930383,17.148098,9.364273,6.9826365,3.635477,7.4595,5.4449444,-0.8532355,10.782218,3.5394402,5.5709553,9.614129,2.087532,9.361242,2.3838775,4.2895737,3.2347398,15.209108,10.083439,-0.99645764,7.6432242,-0.9815184,7.7589836,6.3239985,11.260235,3.5446455,19.277325,-0.9982463,-0.9975265,9.58013,8.9248495
6.3920813,8.545882,9.943577,10.311232,3.2861407,2.9500787,8.046385,6.121476,-0.7762357,3.7916226,2.4170742,6.463128,15.2732,17.085941,8.034411,3.4017377,6.09624,1.8876915,3.652027,7.100132,-0.9963798,2.0601764,-0.8763853,5.5739474,4.518608,7.7616982,11.208334,2.4861765,-0.9953526,-0.9764452,4.997394,1.7926863
3.8651884,5.3656588,3.9954925,7.836014,4.539423,6.344198,10.99436,7.072877,-0.90714765,3.4239182,2.1957264,8.2759695,13.950735,2.2857099,15.143858,3.4557862,8.247224,1.9581499,8.961798,8.228895,-0.9898691,3.591199,-0.9681313,8.495741,9.626548,6.55483,-0.23526758,11.771521,-0.99983096,-0.9656561,14.4581585,1.1730771
4.746499,7.3303175,15.291533,9.868688,6.6380033,6.2096014,7.31323,3.3862014,-0.8681243,15.384441,2.7108765,2.2583075,8.047031,10.87223,2.9868338,6.8039274,10.650486,4.619636,11.120003,6.62992,-0.99735814,6.2941175,-0.89334774,3.445428,5.0735774,12.629838,11.334536,15.512426,-0.9866387,-0.975487,7.2928357,11.900264
2.414671,6.395338,12.103196,9.475523,10.085128,8.251097,16.522512,3.9448159,-0.9336858,8.140624,3.752641,2.8185985,9.272734,10.938041,8.511762,3.1481037,4.743777,5.1697345,4.216878,4.54581,-0.99039936,3.5111046,-0.8782464,6.53351,14.462994,14.697645,8.62161,14.921249,-0.99415016,-0.9877163,3.6756968,13.374033
6.7263904,16.757376,3.6877525,10.078579,7.6351194,9.545701,16.257324,8.846513,-0.94034636,5.8188944,5.795811,8.917142,21.965826,3.5513635,10.729682,5.8737803,8.696913,8.371037,6.275449,11.014231,-0.9999763,6.910969,-0.95307374,9.2271,10.732007,11.781744,7.3732696,9.725306,-0.99989843,-0.9899857,13.271189,15.867003
0.4124632,7.280325,9.894062,13.122171,5.879137,8.672234,6.1021605,5.641322,-0.75490975,14.977147,2.3625312,8.73421,4.0132337,8.467603,2.1804237,2.5938356,12.287984,1.1743186,9.198369,4.338959,-0.9903901,6.85426,-0.91618305,6.2999835,9.168054,12.772829,10.592942,10.08655,-0.7828012,-0.98581165,12.870907,10.81851
3.866775,13.523833,13.492392,17.329569,4.8829775,3.9584348,16.566387,6.298818,-0.8410821,9.607311,5.600838,12.015256,6.426205,14.851052,12.146152,4.9238286,8.315454,3.5117733,6.5394707,6.7673335,-0.9963415,8.522491,-0.98783576,4.418254,9.207595,8.955868,8.546556,15.764578,-0.9993564,-0.99437714,8.786463,9.271938
5.7577667,14.1004925,9.593956,8.651574,10.258261,3.2850583,5.9809613,11.77826,-0.80264467,11.4335985,6.1984057,5.6953945,12.049477,7.6402097,8.662479,5.1813602,8.700463,5.6078234,16.273066,7.3313713,-0.9915514,3.0743048,-0.62733126,4.5504766,8.223836,8.689515,10.15094,6.897021,-0.9999323,-0.87869155,16.235954,8.725973
6.0337157,11.469562,8.694284,4.5405993,8.998395,7.6387005,12.148775,7.3724003,-0.9387244,18.888803,1.7450408,7.6033144,15.338001,10.041948,10.80681,5.7550454,10.6137085,2.7587106,12.099966,13.593444,-0.99908036,2.4433658,-0.9350142,7.6713643,7.9907045,8.227272,12.121687,10.53343,-0.99727076,-0.9904247,11.677752,18.023985
2.2999563,9.673288,16.187246,10.367365,6.191201,4.495847,5.947743,13.524365,-0.89900887,2.0830002,1.4667559,7.0789995,3.3036156,10.785029,11.076395,6.2240067,11.602188,3.6065686,11.6333,6.493111,-0.9851828,5.0343337,-0.68110806,3.2714431,13.474329,10.159561,8.074731,8.553205,-0.9999767,-0.9290742,5.7359757,6.621509
4.0838656,5.321932,4.745491,10.563259,6.138736,7.626838,1.8543544,2.757208,-0.82269907,16.566578,2.2521381,6.473389,10.250243,5.1789308,1.1899072,3.262733,10.908653,1.6096165,8.621046,3.2836032,-0.9943544,7.5974374,-0.74895287,3.9277568,4.278749,8.516585,8.184349,8.596146,-0.16587567,-0.9924723,6.153417,7.841702
